response A record, clustersize
0.8.98.152,4957
0.8.101.9,4749
0.8.111.240,3050
0.8.100.25,47
0.8.101.40,4255
0.8.100.217,3040
0.8.106.84,956
0.8.99.69,1294
0.8.115.52,738
0.8.108.172,1460
0.8.121.192,891
0.8.114.168,652
0.8.119.17,4420
0.8.148.70,540
0.8.246.196,1093
0.8.129.211,9921
0.8.116.141,819
0.8.121.120,1785
0.8.121.108,469
0.8.119.101,3488
0.8.117.37,1230
0.8.140.194,1470
0.8.152.240,1245
0.8.152.148,560
0.8.117.19,3208
0.8.106.135,3816
0.8.111.95,80
0.8.108.41,1826
0.8.130.251,522
0.8.117.133,1308
0.8.111.60,36
0.8.123.181,967
0.8.124.35,1394
0.8.124.92,13
0.8.133.166,349
0.8.105.127,3496
0.8.129.190,479
0.8.101.220,1435
0.8.115.159,1909
0.8.113.55,40
0.8.134.15,17
0.8.132.204,1111
0.8.121.203,704
0.8.101.11,1801
0.8.116.7,1758
0.8.126.205,1330
0.8.121.95,652
0.8.126.198,222
0.8.129.175,554
0.8.126.65,280
0.8.104.92,294
0.8.109.248,1035
0.8.129.113,195
0.8.110.43,182
0.8.124.18,52
0.8.139.230,1748
0.8.115.233,575
0.8.210.244,449
0.8.231.223,666
0.8.118.220,15
0.8.170.225,306
0.8.145.196,25
0.8.102.19,1556
0.8.125.225,53
0.8.124.222,29
0.8.128.215,1806
0.8.111.68,1457
0.8.108.208,625
0.8.122.173,646
0.8.164.141,69
0.8.137.35,643
0.8.140.241,1294
0.8.107.161,56
0.8.121.83,12
0.8.123.69,68
0.8.129.230,129
0.8.110.104,14
0.8.121.79,42
0.8.109.247,24
0.8.122.239,678
0.8.121.245,589
0.8.156.90,719
0.8.125.21,1114
0.8.124.102,26
0.8.170.131,555
0.8.129.173,21
0.8.117.213,14
0.8.224.208,346
0.8.181.154,512
0.8.188.29,373
0.8.122.53,30
0.8.121.175,7
0.8.108.213,510
0.8.121.7,2
0.8.126.175,49
0.8.135.63,14
0.8.118.89,13
0.8.123.110,13
0.8.122.76,53
0.8.119.49,11
0.8.129.202,641
0.8.124.144,308
0.8.101.228,425
0.8.127.61,1051
0.8.162.145,26
0.8.114.8,10
0.8.114.148,60
0.8.181.41,606
0.8.124.130,8
0.8.110.145,12
0.8.221.189,230
0.8.199.187,576
0.8.176.45,581
0.8.120.82,11
0.8.124.41,31
0.9.241.168,256
0.8.106.176,1229
0.8.157.163,523
0.8.136.53,327
0.8.189.194,388
0.8.121.93,13
0.8.210.39,333
0.8.119.39,1
0.8.201.100,332
0.8.126.145,13
0.8.168.181,619
0.8.126.251,8
0.8.244.38,237
0.8.229.99,137
0.8.229.18,555
0.9.189.172,255
0.8.142.140,308
0.8.213.26,286
0.8.164.23,6
0.9.8.106,299
0.9.29.212,281
0.9.22.66,214
0.8.122.169,3
0.8.136.96,518
0.8.124.104,46
0.8.121.119,1
0.8.208.122,377
0.9.76.48,255
0.9.98.158,26
0.8.112.81,2
0.8.108.230,303
0.8.119.12,0
0.8.140.166,11
0.8.111.99,44
0.8.113.133,4
0.8.129.209,13
0.8.151.129,34
0.9.99.42,456
0.8.124.21,2
0.8.127.214,9
0.8.168.51,6
0.8.115.25,63
0.9.35.5,305
0.8.121.99,3
0.8.114.229,386
0.8.221.187,8
0.8.164.131,11
0.8.148.49,8
0.9.204.73,134
0.8.109.121,4
0.8.123.219,27
0.8.113.154,2
0.8.120.173,1
0.8.167.224,11
0.8.213.11,36
0.8.167.120,179
0.8.112.72,37
0.8.160.196,21
0.8.134.31,13
0.8.137.238,11
0.8.141.106,257
0.8.148.143,9
0.8.138.185,14
0.8.111.21,30
0.8.100.40,27
0.8.135.66,17
0.8.98.181,21
0.8.210.127,20
0.8.168.213,12
0.8.106.169,17
0.8.213.172,10
0.8.122.244,32
0.8.138.7,4
0.8.100.169,23
0.8.122.89,4
0.8.152.96,0
